Nr klienta; Lista dodatków
1;	8,	8,	5
6;	5,	1,	1
3;	4,	7,	5
8;	8,	6,	5
1;	5,	1,	7
4;	2,	7,	3
1;	8,	7,	8
6;	8,	2,	2
7;	5,	2,	4
4;	4,	5,	4
6;	5,	2,	2
1;	5,	8,	4
1;	6,	6,	2
3;	8,	2,	5
4;	2,	3,	1
7;	8,	3,	6
8;	4,	3,	6
4;	2,	2,	6
1;	7,	7,	8
4;	1,	5,	5
2;	1,	2,	6
5;	3,	6,	3
3;	8,	7,	6
7;	7,	6,	7
8;	3,	3,	4
3;	5,	5,	7
7;	5,	6,	2
2;	6,	7,	5
7;	3,	4,	5
4;	2,	7,	8
1;	1,	2,	6
3;	7,	8,	7
4;	2,	4,	3
5;	8,	5,	1
7;	2,	2,	1
1;	6,	3,	7
1;	7,	5,	3
2;	4,	8,	2
4;	3,	5,	1
4;	2,	7,	1
7;	6,	5,	2
2;	7,	5,	1
4;	4,	8,	6
5;	5,	7,	3
6;	4,	2,	7
4;	5,	8,	1
4;	8,	8,	8
7;	7,	5,	1
8;	2,	6,	5
5;	2,	7,	3
4;	2,	1,	5
1;	6,	3,	7
3;	3,	6,	6
5;	6,	8,	4
2;	3,	6,	4
4;	7,	3,	4
2;	5,	8,	2
5;	8,	2,	8
7;	7,	6,	3
2;	4,	5,	1
7;	4,	5,	6
2;	1,	7,	6
7;	4,	5,	2
5;	1,	8,	4
3;	1,	8,	7
1;	2,	1,	1
5;	2,	1,	2
5;	4,	5,	4
1;	1,	2,	1
2;	6,	7,	6
2;	8,	3,	5
5;	8,	7,	6
4;	5,	2,	7
4;	2,	2,	3
7;	8,	6,	3
4;	4,	6,	8
1;	6,	8,	7
7;	4,	8,	2
4;	3,	3,	5
5;	5,	4,	2
8;	7,	8,	3
7;	6,	3,	3
1;	7,	6,	6
8;	3,	1,	7
4;	6,	4,	2
6;	4,	2,	4
5;	4,	7,	8
1;	3,	1,	4
7;	3,	8,	5
3;	1,	4,	8
1;	7,	1,	3
8;	5,	2,	4
5;	6,	3,	2
4;	3,	2,	2
3;	8,	1,	5
6;	5,	1,	2
4;	1,	1,	2
1;	3,	5,	6
6;	7,	7,	3
6;	5,	6,	2
1;  2,  4,  5
1;  2,  4,  5
10; 4,	7,	7
16;	6,	1,	7
3;	7,	5,	7
22;	1,	3,	3
8;	6,	1,	8
5;	3,	2,	8
9;	1,	8,	5
20;	1,	8,	2
5;	5,	8,	1
3;	2,	5,	4
22;	2,	3,	3
18;	8,	7,	7
4;	3,	3,	8
22;	6,	5,	8
5;	1,	7,	5
16;	3,	7,	3
6;	1,	1,	7
23;	2,	1,	5
17;	3,	8,	1
13;	1,	4,	6
24;	6,	8,	8
12;	2,	6,	5
5;	4,	2,	5
16;	2,	7,	7
19;	7,	2,	8
17;	1,	2,	1
17;	1,	6,	6
24;	7,	6,	6
2;	4,	8,	8
2;	6,	8,	4
5;	1,	8,	7
5;	2,	5,	7
8;	8,	3,	2
21;	8,	1,	2
11;	6,	3,	5
21;	1,	1,	5
15;	2,	1,	8
19;	8,	3,	2
24;	2,	1,	8
12;	2,	2,	4
21;	1,	4,	5
8;	4,	7,	5
25;	1,	5,	6
8;	8,	4,	8
7;	3,	2,	8
16;	6,	7,	8
16;	5,	6,	6
14;	6,	7,	1
19;	7,	7,	1
11;	4,	3,	5
22;	7,	1,	8
12;	5,	4,	6
20;	8,	1,	1
22;	1,	3,	5
5;	8,	3,	2
9;	3,	3,	2
22;	6,	5,	6
22;	8,	4,	4
10;	5,	4,	2
16;	5,	5,	7
14;	8,	8,	1
21;	5,	4,	2
11;	3,	2,	3
16;	2,	6,	5
24;	4,	2,	5
20;	1,	7,	2
21;	5,	5,	6
11;	7,	1,	6
23;	3,	2,	7
13;	2,	7,	1
14;	5,	1,	6
24;	2,	6,	5
5;	4,	2,	2
10;	1,	4,	3
19;	3,	4,	7
16;	4,	5,	5
8;	1,	6,	8
18;	4,	1,	3
6;	7,	2,	4
24;	1,	5,	2
3;	2,	5,	7
22;	4,	4,	2
1;	4,	5,	4
25;	3,	5,	4
17;	4,	4,	8
1;	7,	3,	4
14;	1,	7,	2
14;	7,	3,	1
13;	7,	2,	4
6;	5,	1,	6
9;	3,	7,	4
22;	1,	1,	7
11;	8,	1,	3
2;	5,	3,	8
25;	8,	7,	5
10;	2,	7,	7
7;	2,	3,	1
2;	1,	7,	1
24;	6,	8,	2
24;	5,	3,	7
